Region name
Khachmaz District
Shabran District
Siazan District
Khizi District
Qusar District
Quba District
Absheron District
Sumqayit City
Baku City
Gobustan District
Shamakhi District
Qabala District
Ismailli District
Agsu District
Hajigabul District
Shirvan City
Oghuz District
Ganja City
Shusha City
Khankendi City
Yevlakh City
Naftalan City
Shaki City
Salyan District
Sabirabad District
Lankaran City
Neftchala District
Lankaran District
Shaki District
Mingachevir City
Yevlakh District
Qakh District
Zaqatala District
Balakan District
Masally District
Lankaran District
Astara District
Lerik District
Yardymli District
Jalilabad District
Bilasuvar District
Saatly District
Agdash District
Goychay District
Ujar District
Kurdamir District
Zardab District
Imishli District
Barda District
Aghjabadi District
Beylagan District
Samukh District
Goranboy District
Tartar District
Kalbajar District
Agdam District
Goygol District
Shamkir District
Dashkasan District
Gadabay District
Tovuz District
Agstafa District
Qazakh District
Lachin District
Khojaly District
Shusha District
Khojavend District
Fuzuli District
Jabrayil District
Qubadli District
Zangilan District
Ordubad District
Julfa District
Shahbuz District
Nakhchivan City
Babek District
Kangarli District
Sharur District
Sadarak District
