Region name
Valjala vald
Lihula vald
Kihelkonna vald
Valgjhrve vald
Kaarma vald
Joelahtme
Kuusalu vald
Narva linn
Laane-Nigula
Ridala vald
Orissaare vald
Noarootsi vald
Martna vald
Vastse-Kuuste vald
Kaina
Peipsinare vald
Torgu vald
Laane-Saare
Pihtla vald
Vaivara vald
Vormsi vald
Vihula vald
Tahkuranna vald
Kihnu vald
Viimsi vald
Leisi vald
Muhu vald
Salme vald
Haademeeste
Varbla vald
Vandra
Puhalepa
Hanila vald
Haapsalu linn
Poide
Laimjala vald
Kiili vald
Vaatsa
Jogeva
Varstu vald
Emmaste vald
Paldiski linn
Hiiu vald
Kuressaare
Haljala vald
Helme vald
Loksa linn
Ruhnu vald
Tamsalu vald
Illuka vald
Kaiu vald
Alaj
Lasva vald
Vohma
Vinni vald
Elva linn
Poltsamaa
Varska vald
Saare vald
Kohtla-Nlmme vald
Audru vald
Tallinna linn
Karu vald
Tostamaa vald
Lohusuu vald
Tori vald
Voru vald
Nissi vald
Keila vald
Mustjala vald
Sindi linn
Mikitamie vald
Kanepi vald
Viru-Nigula vald
Kohila vald
Toila vald
Viljandi linn
Luunja vald
Meeksi vald
Aseri vald
Pala vald
Ragavere vald
Alatskivi vald
Rapina
Valga linn
Tartu linn
Tarvastu vald
Keila linn
Kohtla vald
Torva
Sauga vald
Kolleste
Kolga-Jaani vald
Harku vald
Kohtla-Jlrve linn
Albu vald
Paide linn
Saarde vald
Parnu
Koeru vald
Avinurme vald
Rapla vald
Tahtvere vald
Oru vald
Konguta vald
Laheda vald
Maardu
Paikuse vald
Tapa vald
Vara vald
Halliste vald
Koigi vald
Palupera vald
Kivi
Surju vald
Laeva vald
Rae vald
Puka vald
Taheva vald
Roosna-Alliku vald
Koo vald
Piirissaare vald
Halinga vald
Marjamaa vald
Rouge vald
Polva vald
Meremae vald
Kopu vald
Suure-Jaani vald
Vastseliina vald
Maidla vald
Rakvere linn
Saue vald
Saue linn
Ambla vald
Kose vald
Misso vald
Someru vald
Narva-Jvesuu linn
Puhja vald
Moisakula
Padise vald
Kullamaa vald
Somerpalu vald
Kareda vald
Ahja vald
Sillamae linn
Anija vald
Voru
Sonda vald
Kadrina vald
Haaslava vald
Raasiku vald
Kallaste linn
Laekvere vald
K
Podrala vald
Vonnu vald
Orava vald
Mustvee linn
Kunda linn
Hummuli vald
Pajusi vald
Vaike-Maarja vald
Nova vald
Urvaste vald
Torma vald
Rannu vald
Jogeva vald
Juuru vald
Palamuse vald
Raikklla vald
Imavere vald
Jaarva-Jaani
Rakke vald
Vandra alev
Karula vald
Tolliste vald
Tootsi vald
Tabivere vald
Iisaku vald
Haanja vald
Maksa vald
Rakvere vald
Viljandi vald
Otepaa vald
Kambja vald
Rongu vald
Veriora vald
Tartu vald
Antsla vald
Karksi vald
Kernu vald
Vasalemma vald
M
Mooste vald
Turi vald
Koonga vald
Paide vald
Are vald
Poltsamaa vald
Kasepem vald
Kehtna vald
Abja vald
Sangaste vald
Puurmani vald
Johvi
Noo vald
Vigala vald
Saku vald
Ulenurme vald
Tudulinna vald
Aegviidu vald
Moniste vald
