Region name
Bakau
Banjul Central
Banjul North
Banjul South
Basse
Central Badibu
Foni Bintang Karanai
Foni Bondali
Foni Brefet
Foni Jarrol
Foni Kansala
Illiasa
Janjanbureh
Jarra central
Jarra East
Jarra West
Jeshwang
Jimara
Jokadu
Kantora
Kiang Central
Kiang East
Kiang West
Kombo Central
Kombo East
Kombo North
Kombo South
Lower Badibu
Lower Fuladu West
Lower Niumi
Lower Saloum
Niamina Dankunku
Niamina East
Niamina West
Niani
Nianija
Sabach Sanjar
Sami
Sandu
Serrekunda Central
Serrekunda East
Serrekunda West
Tumana
Upper Fuladu West
Upper Niumi
Upper Saloum
Wuli East
Wuli West
