Region name
Mongkol Borei
Phnum Srok
Preah Netr Preah
Ou Chrov
Serei Saophoan
Thma Puok
Svay Chek
Malai
Paoy Paet
Banan
Thma Koul
Battambang
Bavel
Aek Phnum
Moung Ruessei
Rotonak Mondol
Sangkae
Samlout
Sampov Lun
Phnum Proek
Kamrieng
Koas Krala
Rukh Kiri
Batheay
Chamkar Leu
Cheung Prey
Kampong Cham
Kampong Siem
Kang Meas
Kaoh Soutin
Prey Chhor
Srei Santhor
Stueng Trang
Baribour
Chol Kiri
Kampong Chhnang
Kampong Leaeng
Kampong Tralach
Rolea B'ier
Sameakki Mean Chey
Tuek Phos
Basedth
Chbar Mon
Kong Pisei
Aoral
Odongk
Phnum Sruoch
Samraong Tong
Thpong
Baray
Kampong Svay
Stueng Saen
Prasat Ballangk
Prasat Sambour
Sandan
Santuk
Stoung
Angkor Chey
Banteay Meas
Chhuk
Chum Kiri
Dang Tong
Kampong Trach
Tuek Chhou
Kampot
Kandal Stueng
Kien Svay
Khsach Kandal
Kaoh Thum
Leuk Daek
Lvea Aem
Mukh Kampul
Angk Snuol
Ponhea Lueu
S'ang
Ta Khmau
Botum Sakor
Kiri Sakor
Kaoh Kong
Khemara Phoumin
Mondol Seima
Srae Ambel
Thma Bang
Chhloung
Kracheh
Prek Prasab
Sambour
Snuol
Chetr Borei
Kaev Seima
Kaoh Nheaek
Ou Reang
Pech Chreada
Saen Monourom
Chamkar Mon
Doun Penh
Prampir Meakkakra
Tuol Kouk
Dangkao
Mean Chey
Russey Keo
Saensokh
Pur SenChey
Chraoy Chongvar
Praek Pnov
Chbar Ampov
Chey Saen
Chhaeb
Choam Ksant
Kuleaen
Rovieng
Sangkum Thmei
Tbaeng Mean Chey
Preah Vihear
Ba Phnum
Kamchay Mear
Kampong Trabaek
Kanhchriech
Me Sang
Peam Chor
Peam Ro
Pea Reang
Preah Sdach
Prey Veng
Pur Rieng
Sithor Kandal
Svay Antor
Bakan
Kandieng
Krakor
Phnum Kravanh
Pursat
Veal Veaeng
Andoung Meas
Ban Lung
Bar Kaev
Koun Mom
Lumphat
Ou Chum
Ou Ya Dav
Ta Veaeng
Veun Sai
Angkor Chum
Angkor Thum
Banteay Srei
Chi Kraeng
Kralanh
Puok
Prasat Bakong
Siem Reap
Soutr Nikom
Srei Snam
Svay Leu
Varin
Preah Sihanouk
Prey Nob
Stueng Hav
Kampong Seila
Sesan
Siem Bouk
Siem Pang
Stueng Traeng
Thala Barivat
Chantrea
Kampong Rou
Rumduol
Romeas Haek
Svay Chrum
Svay Rieng
Svay Teab
Bavet
Angkor Borei
Bati
Borei Cholsar
Kiri Vong
Kaoh Andaet
Prey Kabbas
Samraong
Doun Kaev
Tram Kak
Treang
Anlong Veaeng
Banteay Ampil
Chong Kal
Samraong
Trapeang Prasat
Damnak Chang'aeur
Kaeb
Pailin
Sala Krau
Dambae
Krouch Chhmar
Memot
Ou Reang Ov
Ponhea Kraek
Suong
Tboung Khmum
