Region name
Vadsø nor
Osen nor
Bremanger nor
Austevoll nor
Kristiansand nor
Tvedestrand nor
Risør nor
Steigen nor
Sørfold nor
Vardø nor
Båtsfjord nor
Lebesby nor
Nordkapp nor
Hammerfest nor
Loppa nor
Karlsøy nor
Tromsø nor
Lenvik nor
Andøy nor
Vågan nor
Rødøy nor
Bindal nor
Kristiansund nor
Eide nor
Aukra nor
Selje nor
Fedje nor
Bømlo nor
Haugesund nor
Karmøy nor
Hå nor
Eigersund nor
Flekkefjord nor
Lindesnes nor
Lillesand nor
Larvik nor
Nesna nor
Øygarden nor
Osterøy nor
Rælingen nor
Løten nor
Fyresdal nor
Vestby nor
Flå nor
Svelvik nor
Lardal nor
Siljan nor
Tønsberg nor
Hurum nor
Naustdal nor
Ulstein nor
Tjeldsund nor
Gol nor
Gjerdrum nor
Halden nor
Radøy nor
Lindås nor
Tolga nor
Gjøvik nor
Gausdal nor
Kongsberg nor
Flesberg nor
Åmot nor
Enebakk nor
Tydal nor
Aure nor
Ringebu nor
Stor-Elvdal nor
Måsøy nor
Ål nor
"""Nore og Uvdal"" nor"
Ulvik nor
Lørenskog nor
Folldal nor
Bamble nor
Hadsel nor
Norddal nor
Dyrøy nor
Ibestad nor
Beiarn nor
Lurøy nor
Verdal nor
Malvik nor
Agdenes nor
Vestnes nor
Meløy nor
Inderøy nor
Stordal nor
Vaksdal nor
Fjaler nor
Nome nor
Bø nor
Sogndal nor
Hitra nor
Midsund nor
Ålesund nor
Tysnes nor
Kvam nor
Frogn nor
Iveland nor
Granvin nor
Dønna nor
Gulen nor
Modalen nor
Nes nor
Rana nor
Malvik nor
Skjåk nor
Seljord nor
Nome nor
Lærdal nor
Froland nor
Åmli nor
Frosta nor
Rygge nor
Våler nor
Askim nor
Hurdal nor
Tokke nor
Leksvik nor
Horten nor
Kragerø nor
Meland nor
Tranøy nor
Berg nor
Nærøy nor
Fosnes nor
Namsos nor
Alvdal nor
Tynset nor
Lierne nor
Orkdal nor
Meråker nor
Rømskog nor
Skaun nor
Rennebu nor
Bodø nor
Vefsn nor
Skien nor
Voss nor
Grane nor
Meldal nor
Vik nor
Os nor
Øyer nor
Lunner nor
Elverum nor
Trysil nor
Luster nor
Vågå nor
Sel nor
Lom nor
Fet nor
Fusa nor
Ørland nor
Halsa nor
Fitjar nor
Bjugn nor
Stord nor
Eidskog nor
Selbu nor
Røros nor
Stranda nor
Skodje nor
Sunndal nor
Ørskog nor
Ørsta nor
Volda nor
Rauma nor
Eid nor
Molde nor
Målselv nor
Bardu nor
Narvik nor
Hemnes nor
Aurland nor
Hol nor
Gran nor
Rissa nor
Oppdal nor
Alta nor
Salangen nor
Gildeskål nor
Gratangen nor
Sørreisa nor
Skånland nor
"""Nordre Land"" nor"
Alstahaug nor
Vevelstad nor
Vegårshei nor
Sortland nor
Balestrand nor
Leikanger nor
Hyllestad nor
Tingvoll nor
Masfjorden nor
Nissedal nor
Kviteseid nor
Fredrikstad nor
