Region name
Abau District
Aitape/Lumi District
Alotau District
Ambunti/Drekikier District
Anglimp/South Waghi District
Angoram District
Bogia District
Bulolo District
Central Bougainville District
Chuave District
Daulo District
Dei District
Esa'ala District
Finschafen District
Gazelle District
Goilala District
Goroka District
Gumine District
Henganofi District
Huon District
Ialibu/Pangia District
Ijivitari District
Imbonggu District
Jimi District
Kabwum District
Kagua/Erave District
Kainanatu District
Kairuku - Hiri District
Kandep District
Kandrian/Gloucester District
Karimui/Nomane District
Kavieng District
Kerema District
Kerowagi District
Kikori District
Kiriwina-Goodenough District
Kokopo District
Komo/Magarima District
Kompiam District
Koroba/Kopiago District
Kundiawa/Gembogl District
Lae District
Lagaip/Pogera District
Lufa District
Madang District
Manus District
Maprik District
Markham District
Mendi/Munihu District
Menyamya District
Middle Fly District
Middle Ramu District
Mt Hagen District
Mul/Baiyer District
Namatanai District
National Capital District
Nawae District
Nipa/Kutubu District
North Bougainville District
North Fly District
North Waghi District
Nuku District
Obura/Wonenara District
Okapa District
Pomio District
Rabaul District
Rai Coast District
Rigo District
Samarai-Murua District
Sina Sina Yonggomugl District
Sohe District
South Bougainville District
South Fly District
Sumkar District
Talasea District
Tambul/Nebilyer District
Tari/Pori District
Tawae/Siassi District
Telefomin District
Unggai/Benna District
Usino Bundi District
Vanimo/Green River District
Wabag District
Wapenamanda District
Wewak District
Wosera Gawi District
Yangoru Saussia District
