Region name
Kosh-Agachsky Rayon
Ponazyrevsky District
Khiloksky District
Pervomaysky District
Bakalinsky District
Balezinsky District
Pitersky District
Babyninsky District
городской округ Канск
Spassky District
Vorkuta Urban Okrug
Tatyshlinsky District
Zianchurinsky District
Kurganinsky District
Myasnikovsky District
Kochubeyevsky District
Tomsk municipal region
Tyumensky District
городской округ Омск
Opochetsky District
Pogarsky District
Okhotsky Rayon
Tandinsky Kozhuun
Novocheboksarsk
Свердловский район
Nevelsky District
Barun-Khemchiksky Kozhuun
Kezhemsky Rayon
Lesnoy District
Zelenogradsky District
Akshinsky District
Atyashevsky District
Chegemsky District
Tonshayevsky District
Oktyabrsky District
Soligalichsky District
Solikamsky District
Irafsky District
Irbeysky Rayon
Ishimbaysky District
Medynsky District
Vagaysky District
Izobilnensky District
Megion
Cherepovetsky District
Kiyasovsky District
Gornomariysky District
Yershovsky District
Karaginsky District
городской округ Бор
Krasnoarmeysky District
городской округ Радужный
Zadonsky District
Zalesovsky District
Nemansky District
Kotelnichsky District
Kaliningrad
Livny
Severo-Evensky Urban District
Insarsky District
Chernoyarsky District
Kalininsky District
Pavlovsky District
Kochenyovsky District
Lotoshinsky District
Zapadnodvinsky District
Rybno-Slobodsky District
Rybnovsky District
Tamalinsky District
Urensky District
Казачинско-Ленский район
Omsukchansky Urban District
Muromsky District
Ust-Ishimsky District
Zaigrayevsky Rayon
Grozny
Kamensky District
городской округ Горячий Кл
Ketovsky District
Kirzhachsky District
Shentalinsky District
Staritsky District
Abyysky Ulus
Samoylovsky District
Shatsky District
Naberezhnye Chelny
Suksunsky District
городской округ Магас
Uninsky District
Kargasok region
Verkhneuralsky District
Konoshsky District
Vologodsky District
Voronezh
Vyatskopolyansky District
Zemetchinsky District
Ангарский городской округ
Manturovsky District
Orenburgsky District
Adyge-Khablsky District
Allaikhovsky Ulus
Amginsky Ulus
Babayevsky District
Мамско-Чуйский район
Blagoveshchensky District
Bryukhovetsky District
Buguruslan
Усть-Кутский район
Chainsky District
Charodinsky District
Chebarkul
Chelno-Vershinsky District
городской округ Новокуйбыш
Dolgorukovsky District
Dubna
Erzinsky Kozhuun
Dedovichsky District
Demidovsky District
Gorokhovetsky District
imeni Lazo Rayon
imeni Poliny Osipenko Rayon
Inzhavinsky District
Irkutsky District
Ishimsky District
Kaarosta District
Kadomsky District
Kamyshlov
Karagaysky District
Karakulinsky District
Karsunsky District
Kazachinsky Rayon
Kizhinginsky Rayon
Kondinsky District
Inta Urban Okrug
Krasnodar Municipality
Issinsky District
Krasnopartizansky District
Krasnoyarsky District
Kudymkarsky District
Kataysky District
Langepas
Kholm-Zhirkovsky
Velizhsky District
Alexandrovo-Gaysky District
Bolsherechensky District
Mujejärvi District
Nekrasovsky District
Nelidovsky District
Nikolayevsky District
Nogliksky District
Novichikhinsky District
Lensky Ulus
Novorzhevsky District
Nurimanovsky District
Nyuksensky District
Dergachyovsky District
Dorogobuzhsky District
Dzhidinsky Rayon
Ozinsky District
Pavlogradsky District
Pervomaysky
Petrovsky District
Petrovsky District
Pichayevsky District
Pirovsky Rayon
Pochinkovsky District
Podolsk Urban Okrug
Kansky Rayon
Novousmansky District
Raychikhinsk
Rybinsky Rayon
Sarapul
Sasovsky District
Sayansky Rayon
Kireyevsky District
Selivanovsky District
Kletnyansky District
Kletsky District
Shikhany
Poronaysky District
Smidovichsky District
Smolensky District
Snezhinsk
Sovetsky District
Staroshaygovsky District
Tisulsky District
Tobolsky District
Shilovsky District
Tusina District
Tuymazinsky District
Sosnovsky District
Sosnovsky District
Uglovsky District
Uinsky District
Alkeyevsky District
Noginsky District
Vaninsky Rayon
Belyayevsky District
Maykopsky District
Vilyuysky Ulus
Oleninsky District
Olenyoksky Ulus
Vokhomsky District
Borisoglebsky District
Volotovsky District
Volzhsky
Voskresensky District
Vyborgsky District
Cheboksarsky District
Yalutorovsky District
Chudovsky District
Chukhlomsky District
Churapchinsky Ulus
Yeysky District
Divnogorsk Urban Okrug
Pushkinogorsky District
Velikoluksky District
Аларский район
Gordeyevsky District
Ipatovsky District
Perelyubsky District
Kardymovsky District
Kargatsky District
Чусовской район
городской округ Красноурал
Oblivsky District
Konakovsky District
Konstantinovsky District
Koverninsky District
городской округ Нягань
Krasnokamensky District
Kukmorsky District
Kulebaksky District
Дальнегорский городской ок
Дмитровский район
Kuybyshevsky District
Kuzovatovsky District
Usolsky District
Vachsky District
Nizhny Novgorod
Уссурийский городской окру
Mishkinsky District
Oymyakonsky Ulus
Yuryansky District
Shilkinsky District
Bryansky District
Khasansky District
Apsheronsky District
Vesyegonsky District
Локомотивный городской окр
Dobryansky District
Находкинский городской окр
Некоузский район
Bryansk
городской округ Молодёжный
Komsomolsky District
Okhansky District
Лысьвенский городской окру
Danilovsky District
Surgutsky District
Nizhneudinsky Rayon
Nizhnevartovsky District
Большесельский район
городской округ Абакан
Galichsky District
Slantsevsky District
Mezhdurechensky Urban Okrug
Gribanovsky District
городской округ Новоалтайс
Buinsky District
Aktanyshsky District
Arsenyevsky District
Diveyevsky District
Dobrinsky District
Istrinsky District
Karmaskalinsky District
Kasimov
Kemerovo
Khanty-Mansiysk Urban Okrug
Kolyshleysky District
Korsakovsky District
Ramonsky District
Krasnokamsky District
Krasnoselkupsky Rayon
Kuvandyksky District
Kuznetsky District
Lopatinsky District
Manturovo
Melekessky District
Laukaa District
Moshkovsky District
Nevelsky District
Nizhneingashsky Rayon
Nolinsky District
Kuybyshevsky District
Olovyanninsky District
Parfenyevsky District
Makaryevsky District
Pochepsky District
Radishchevsky District
Ryazhsky District
Selenginsky Rayon
Shushensky Rayon
Adamovsky District
Anapa Urban Okrug
"Ardatovsky District, Republic of Mordovia"
Arkadaksky District
Krasninsky District
Oktyabrsky District
Shigonsky District
Petroskoi District
Pevek urban district
Plastovsky District
Plesetsky District
Ulchsky Rayon
Saratovsky District
Umyotsky District
