Region name
Subotica City
Sombor City
Sremska Mitrovica City
Pancevo City
Kikinda City
Zrenjanin City
Novi Sad City
Sabac City
Loznica City
Vranje City
Leskovac City
Krusevac City
Kraljevo City
Novi Pazar City
Nis City
Zajecar City
Jagodina City
Smederevo City
Pozarevac City
Kragujevac City
Cacak City
Valjevo City
Uzice City
Belgrade
Negotin Municipality
Bor Municipality
Kladovo Municipality
Majdanpek Municipality
Babusnica Municipality
Bela Palanka Municipality
Dimitrovgrad Municipality
Pirot Municipality
Boljevac Municipality
Knjazevac Municipality
Cuprija Municipality
Despotovac Municipality
Paracin Municipality
Svilajnac Municipality
Zabari Municipality
Zagubica Municipality
Golubac Municipality
Kucevo Municipality
Malo Crnice Municipality
Petrovac-na-Mlavi Municipality
Nova Varos Municipality
Priboj Municipality
Prijepolje Municipality
Kanjiza Municipality
Senta Municipality
Backa Topola Municipality
Ada Municipality
Novi Knezevac Municipality
Bujanovac Municipality
Presevo Municipality
Bogatic Municipality
Pecinci Municipality
Ruma Municipality
Indjija Municipality
Irig Municipality
Stara Pazova Municipality
Apatin Municipality
Sid Municipality
Alibunar Municipality
Bela Crkva Municipality
Kovacica Municipality
Kovin Municipality
Opovo Municipality
Plandiste Municipality
Vrsac Municipality
Coka Municipality
Mali Idjos Municipality
Nova Crnja Municipality
Novi Becej Municipality
Secanj Municipality
Zitiste Municipality
Kula Municipality
Odzaci Municipality
Bac Municipality
Becej Municipality
Backa Palanka Municipality
Backi Petrovac Municipality
Beocin Municipality
Srbobran Municipality
Sremski Karlovci Municipality
Temerin Municipality
Titel Municipality
Vrbas Municipality
Zabalj Municipality
Vladimirci Municipality
Koceljeva Municipality
Krupanj Municipality
Ljubovija Municipality
Surdulica Municipality
Bosilegrad Municipality
Trgoviste Municipality
Vladicin Han Municipality
Crna Trava Municipality
Vlasotince Municipality
Bojnik Municipality
Lebane Municipality
Medvedja Municipality
Zitoradja Municipality
Blace Municipality
Kursumlija Municipality
Prokuplje Municipality
Aleksandrovac Municipality
Brus Municipality
Cicevac Municipality
Trstenik Municipality
Varvarin Municipality
Raska Municipality
Tutin Municipality
Vrnjacka Banja Municipality
Aleksinac Municipality
Doljevac Municipality
Gadzin Han Municipality
Merosina Municipality
Razanj Municipality
Svrljig Municipality
Sokobanja Municipality
Rekovac Municipality
Smederevska Palanka Municipal*
Velika Plana Municipality
Arandjelovac Municipality
Batocina Municipality
Knic Municipality
Raca Municipality
Topola Municipality
Gornji Milanovac Municipality
Ivanjica Municipality
Lucani Municipality
Lajkovac Municipality
Ljig Municipality
Mionica Municipality
Osecina Municipality
Ub Municipality
Arilje Municipality
Bajina Basta Municipality
Cajetina Municipality
Kosjeric Municipality
Pozega Municipality
Sjenica Municipality
Mali Zvornik Municipality
Lapovo Municipality
Veliko Gradiste Municipality
