Region name
Akat Amnuai
Amphawa
Ao Luek
Aranyaprathet
At Samat
Bacho
Bamnet Narong
Ban Bueng
Ban Chang
Ban Dan
Ban Dan Lan Hoi
Ban Dung
Ban Fang
Ban Haet
Ban Hong
Ban Kha
Ban Khai
Ban Khok
Ban Khwao
Ban Kruat
Ban Laem
Ban Lat
Ban Luang
Ban Lueam
Ban Mai Chaiyaphot
Ban Mi
Ban Mo
Ban Muang
Ban Na
Ban Na Doem
Ban Na San
Ban Phaeng
Ban Phaeo
Ban Phai
Ban Pho
Ban Phraek
Ban Phue
Ban Pong
Ban Rai
Ban Sang
Ban Ta Khun
Ban Tak
Ban Thaen
Ban Thi
Bang Ban
Bang Bo
Bang Bon
Bang Bua Thong
Bang Kaeo
Bang Kapi
Bang Khae
Bang Khan
Bang Khen
Bang Khla
Bang Kho Laem
Bang Khonthi
Bang Khun Thian
Bang Klam
Bang Krathum
Bang Kruai
Bang Lamung
Bang Len
Bang Mun Nak
Bang Na
Bang Nam Priao
Bang Pa-In
Bang Pahan
Bang Pakong
Bang Phae
Bang Phlat
Bang Phli
Bang Pla Ma
Bang Rachan
Bang Rak
Bang Rakam
Bang Sai
Bang Sai
Bang Sao Thong
Bang Saphan
Bang Saphan Noi
Bang Sue
Bang Yai
Bangkok Noi
Bangkok Yai
Bannang Sata
Banphot Phisai
Benchalak
Betong
Bo Kluea
Bo Phloi
Bo Rai
Bo Thong
Borabue
Bua Lai
Bua Yai
Buachet
Bueng Bun
Bueng Khong Long
Bueng Kum
Bueng Na Rang
Bueng Sam Phan
Bueng Samakkhi
Bung Khla
Buntharik
Cha-Am
Cha-Uat
Chae Hom
Chai Badan
Chai Buri
Chai Prakan
Chai Wan
Chaiya
Chaiyo
Chakkarat
Chaloem Phra Kiat
Chaloem Phra Kiat
Chaloem Phra Kiat
Chaloem Phra Kiat
Chaloem Phra Kiat
Chamni
Chana
Chanae
Chang Klang
Changhan
Chanuman
Charoen Sin
Chat Trakan
Chatturat
Chatuchak
Chaturaphak Phiman
Chawang
Chian Yai
Chiang Dao
Chiang Kham
Chiang Khan
Chiang Khong
Chiang Khwan
Chiang Klang
Chiang Muan
Chiang Saen
Chiang Yuen
Cho-Airong
Chok Chai
Chom Bueng
Chom Phra
Chom Thong
Chom Thong
Chon Daen
Chonnabot
Chuen Chom
Chulabhorn
Chum Phae
Chum Phuang
Chum Saeng
Chum Ta Bong
Chumphon Buri
Chun
Damnoen Saduak
Dan Chang
Dan Khun Thot
Dan Makham Tia
Dan Sai
Den Chai
Det Udom
Din Daeng
Doem Bang Nang Buat
Doi Lo
Doi Luang
Doi Saket
Doi Tao
Dok Khamtai
Don Chan
Don Chedi
Don Mot Daeng
Don Mueang
Don Phut
Don Sak
Don Tan
Don Tum
Dong Charoen
Dong Luang
Dusit
Erawan
Fak Tha
Fang
Fao Rai
Galyani Vadhana
Hang Chat
Hang Dong
Hankha
Hat Samran
Hat Yai
Hot
Hua Hin
Hua Sai
Hua Taphan
Huai Khot
Huai Khwang
Huai Krachao
Huai Mek
Huai Phueng
Huai Rat
Huai Thalaeng
Huai Thap Than
Huai Yot
In Buri
Kabang
Kabin Buri
Kae Dam
Kaeng Hang Maeo
Kaeng Khoi
Kaeng Khro
Kaeng Krachan
Kaeng Sanam Nang
Kamalasai
Kamphaeng Saen
Kanchanadit
Kantang
Kantharalak
Kanthararom
Kantharawichai
Kao Liao
Kap Choeng
Kapho
Kapoe
Kapong
Kaset Sombun
Kaset Wisai
Kathu
Khaen Dong
Khai Bang Rachan
Kham Khuean Kaeo
Kham Muang
Kham Sakaesaeng
Kham Ta Kla
Kham Thale So
Khamcha-I
Khan Na Yao
Khanom
Khanu Woralaksaburi
Khao Chaison
Khao Chakan
Khao Chamao
Khao Khitchakut
Khao Kho
Khao Phanom
Khao Saming
Khao Suan Kwang
Khao Wong
Khao Yoi
Khemarat
Khian Sa
Khiri Mat
Khiri Rat Nikhom
Khlong Hat
Khlong Hoi Khong
Khlong Khlung
Khlong Khuean
Khlong Lan
Khlong Luang
Khlong Sam Wa
Khlong San
Khlong Thom
Khlong Toei
Khlong Yai
Khlung
Kho Wang
Khok Charoen
Khok Pho
Khok Pho Chai
Khok Samrong
Khok Si Suphan
Khok Sung
Khon Buri
Khon San
Khon Sawan
Khong
Khong Chai
Khong Chiam
Khu Mueang
Khuan Don
Khuan Kalong
Khuan Khanun
Khuan Niang
Khueang Nai
Khukhan
Khun Han
Khun Tan
Khun Yuam
Khura Buri
Khwao Sin Rin
Klaeng
Ko Chan
Ko Chang
Ko Kha
Ko Kut
Ko Lanta
Ko Pha-Ngan
Ko Samui
Ko Si Chang
Ko Yao
Kong Krailat
Kong Ra
Kosamphi Nakhon
Kosum Phisai
Kra Buri
