Region name
A Luoi
An Bien
An Duong
An Khe
An Lao
An Lao
An Minh
An Nhon
An Phu
An Thi
Anh Son
Ayun Pa
Ba Be
Ba Che
Ba Dinh
Ba Don
Ba Ria
Ba Thuoc
Ba To
Ba Tri
Ba Vi
Bac Ai
Bac Binh
Bac Giang
Bac Ha
Bac Kan
Bac Lieu
Bac Me
Bac Ninh
Bac Quang
Bac Son
Bac Tan Uyen
Bac Tra My
Bac Tu Liem
Bac Yen
Bach Long Vi
Bach Thong
Bao Lac
Bao Lam
Bao Lam
Bao Loc
Bao Thang
Bao Yen
Bat Xat
Bau Bang
Ben Cat
Ben Cau
Ben Luc
Ben Tre
Bien Hoa
Bim Son
Binh Chanh
Binh Dai
Binh Gia
Binh Giang
Binh Lieu
Binh Long
Binh Luc
Binh Minh
Binh Son
Binh Tan
Binh Tan
Binh Thanh
Binh Thuy
Binh Xuyen
Bo Trach
Bu Dang
Bu Dop
Bu Gia Map
Buon Don
Buon Ho
Buon Ma Thuot
Ca Mau
Cai Be
Cai Nuoc
Cai Rang
Cam Giang
Cam Khe
Cam Lam
Cam Le
Cam Lo
Cam My
Cam Pha
Cam Ranh
Cam Thuy
Cam Xuyen
Can Duoc
Can Gio
Can Giuoc
Can Loc
Cang Long
Cao Bang
Cao Loc
Cao Phong
Cat Hai
Cat Tien
Cau Giay
Cau Ke
Cau Ngang
Chau Doc
Chau Duc
Chau Phu
Chau Thanh
Chau Thanh
Chau Thanh
Chau Thanh
Chau Thanh
Chau Thanh
Chau Thanh
Chau Thanh
Chau Thanh
Chau Thanh
Chau Thanh A
Chi Lang
Chi Linh
Chiem Hoa
Cho Don
Cho Gao
Cho Lach
Cho Moi
Cho Moi
Chon Thanh
Chu Pah
Chu Prong
Chu Puh
Chu Se
Chuong My
Co Do
Co To
Con Cuong
Con Dao
Cu Chi
Cu Jut
Cu Kuin
Cu Lao Dung
Cu Mgar
Cua Lo
Da Bac
Da Huoai
Da Krong
Da Lat
Da Teh
Dai Loc
Dai Tu
Dak Doa
Dak Glei
Dak Glong
Dak Ha
Dak Mil
Dak Po
Dak Rlap
Dak Song
Dak To
Dam Doi
Dam Ha
Dam Rong
Dan Phuong
Dat Do
Dau Tieng
Di An
Di Linh
Dien Ban
Dien Bien
Dien Bien Dong
Dien Bien Phu
Dien Chau
Dien Khanh
Dinh Hoa
Dinh Lap
Dinh Quan
Do Luong
Do Son
Doan Hung
Don Duong
Dong Anh
Dong Da
Dong Giang
Dong Ha
Dong Hai
Dong Hoa
Dong Hoi
Dong Hung
Dong Hy
Dong Phu
Dong Son
Dong Trieu
Dong Van
Dong Xoai
Dong Xuan
Duc Co
Duc Hoa
Duc Hue
Duc Linh
Duc Pho
Duc Tho
Duc Trong
Duong Kinh
Duong Minh Chau
Duy Tien
Duy Xuyen
Duyen Hai
EA Hleo
Ea Kar
Ea Sup
Gia Binh
Gia Lam
Gia Loc
Gia Nghia
Gia Rai
Gia Vien
Giang Thanh
Giao Thuy
Gio Linh
Giong Rieng
Giong Trom
Go Cong
Go Cong Dong
Go Cong Tay
Go Dau
Go Quao
Go Vap
Ha Dong
Ha Giang
Ha Hoa
Ha Lang
Ha Long
Ha Quang
Ha Tien
Ha Tinh
Ha Trung
Hai An
Hai Ba Trung
Hai Chau
Hai Duong
Hai Ha
Hai Hau
Hai Lang
Ham Tan
Ham Thuan Bac
Ham Thuan Nam
Ham Yen
Hau Loc
Hiep Duc
Hiep Hoa
Hoa An
Hoa Binh
Hoa Binh
Hoa Lu
Hoa Thanh
Hoa Vang
Hoai An
Hoai Duc
Hoai Nhon
Hoan Kiem
Hoang Hoa
Hoang Mai
Hoang Mai
Hoang Su Phi
Hoanh Bo
Hoc Mon
Hoi An
Hon Dat
Hon Quan
Hong Bang
Hong Dan
Hong Linh
Hue
Hung Ha
Hung Nguyen
Hung Yen
Huong Hoa
Huong Khe
Huong Son
Huong Thuy
Huong Tra
Huu Lung
Huyen Cai Lay
Huyen Cao Lanh
Huyen Hong Ngu
Ia Grai
Ia Pa
KBang
Ke Sach
Khanh Son
Khanh Vinh
Khoai Chau
Kien An
Kien Hai
Kien Luong
Kien Thuy
Kien Tuong
Kien Xuong
Kim Bang
Kim Boi
Kim Dong
Kim Son
Kim Thanh
Kinh Mon
Kon Plong
Kon Ray
Kon Tum
Kong Chro
Krong A Na
Krong Bong
Krong Buk
Krong Nang
Krong No
Krong Pa
Krong Pac
Ky Anh
Ky Son
Ky Son
La Gi
Lac Duong
Lac Son
Lac Thuy
Lai Chau
Lai Vung
Lak
Lam Binh
Lam Ha
Lam Thao
Lang Chanh
Lang Giang
Lang Son
Lao Cai
Lap Thach
Lap Vo
Le Chan
Le Thuy
Lien Chieu
Loc Binh
Loc Ha
Loc Ninh
Long Bien
Long Dien
Long Ho
Long Khanh
Long My
Long Phu
Long Thanh
Long Xuyen
Luc Nam
Luc Ngan
Luc Yen
Luong Son
Luong Tai
Ly Nhan
Ly Son
Mai Chau
Mai Son
Mang Thit
Mang Yang
Mdrak District
Me Linh
Meo Vac
Minh Hoa
Minh Long
Mo Cay Bac
Mo Cay Nam
Mo Duc
Moc Chau
Moc Hoa
Mong Cai
Mu Cang Chai
Muong Ang
Muong Cha
Muong Khuong
Muong La
Muong Lat
Muong Lay
Muong Nhe
Muong Te
My Duc
My Hao
My Loc
My Tho
My Tu
My Xuyen
Na Hang
Na Ri
Nam Can
Nam Dan
Nam Định
Nam Dong
Nam Giang
Nam Nhun
Nam Po
Nam Sach
Nam Tra My
Nam Truc
Nam Tu Liem
Nga Bay
Nga Nam
Nga Son
Ngan Son
Nghi Loc
Nghi Xuan
Nghia Dan
Nghia Hanh
Nghia Hung
Nghia Lo
Ngo Quyen
Ngoc Hien
Ngoc Hoi
Ngoc Lac
Ngu Hanh Son
Nguyen Binh
Nha Be
Nha Trang
Nho Quan
Nhon Trach
Nhu Thanh
Nhu Xuan
Ninh Bình
Ninh Giang
Ninh Hai
Ninh Hoa
Ninh Kieu
Ninh Phuoc
Ninh Son
Nong Cong
Nong Son
Nui Thanh
O Mon
Pac Nam
Phan Rang-Thap Cham
Phan Thiet
Pho Yen
Phong Dien
Phong Dien
Phong Tho
Phu Binh
Phu Cat
Phu Cu
Phu Giao
Phu Hoa
Phu Loc
Phu Luong
Phu Ly
Phu My
Phu Nhuan
Phu Ninh
Phu Ninh
Phu Quoc
Phu Quy
Phu Tan
Phu Tan
Phu Thien
Phu Tho
Phu Vang
Phu Xuyen
Phu Yen
Phuc Hoa
Phuc Tho
Phuc Yen
Phung Hiep
